,Intr,Area,GenTer,GenHid,GenRE,GenNP,GenTot,Demanda,Corte,Excedente,PotInt,Perdidas
0,1,CEN         ,2643.0,0.0,0.0,721.516,3364.516,5800.085,0.0,0.0,0.0,69.348
1,1,ORI         ,1721.629,1368.22,557.38,3384.302,7031.531,5235.54,0.0,0.0,0.0,189.122
2,1,OCC         ,3089.405,0.0,0.0,968.677,4058.082,7621.517,0.0,0.0,0.0,168.219
3,1,NOR         ,1612.0,121.0,0.0,468.8,2201.8,1780.371,0.0,0.0,0.0,53.525
4,1,NTE         ,2325.343,0.0,0.0,123.335,2448.678,2889.317,0.0,0.0,0.0,50.835
5,1,NES         ,6817.894,0.0,193.072,3507.331,10518.297,5403.105,0.0,0.0,0.0,143.517
6,1,PEN         ,888.9,0.0,84.518,38.8,1012.218,1060.372,0.0,0.0,0.0,20.04
7,1,GUA         ,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.209
8,1,WE2         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,PEE         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,BEL         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,CEN         ,2643.0,0.0,0.0,710.11,3353.11,5552.953,0.0,0.0,0.0,67.461
12,2,ORI         ,1725.811,724.5,557.21,3369.907,6377.428,5013.527,0.0,0.0,0.0,175.463
13,2,OCC         ,3004.36,0.0,0.0,943.65,3948.01,7353.866,0.0,0.0,0.0,160.953
14,2,NOR         ,1756.67,63.0,0.0,468.8,2288.47,1735.628,0.0,0.0,0.0,58.35
15,2,NTE         ,2228.42,0.0,0.0,67.335,2295.755,2777.025,0.0,0.0,0.0,47.264
16,2,NES         ,6436.498,0.0,252.093,3535.907,10224.498,5226.312,0.0,0.0,0.0,138.415
17,2,PEN         ,888.9,0.0,72.431,36.18,997.511,1008.001,0.0,0.0,0.0,19.354
18,2,GUA         ,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.209
19,2,WE2         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2,PEE         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2,BEL         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3,CEN         ,2615.518,0.0,0.0,710.124,3325.642,5424.652,0.0,0.0,0.0,62.1
23,3,ORI         ,1631.01,829.5,556.56,3347.775,6364.845,4938.859,0.0,0.0,0.0,162.942
24,3,OCC         ,2987.044,0.0,0.0,896.086,3883.13,7219.847,0.0,0.0,0.0,151.097
25,3,NOR         ,1756.26,34.0,0.0,455.3,2245.56,1692.948,0.0,0.0,0.0,57.797
26,3,NTE         ,2229.55,0.0,0.0,68.335,2297.885,2717.02,0.0,0.0,0.0,46.065
27,3,NES         ,5971.744,0.0,287.719,3519.44,9778.903,5090.292,0.0,0.0,0.0,126.448
28,3,PEN         ,845.691,0.0,64.262,32.22,942.173,981.467,0.0,0.0,0.0,16.395
29,3,GUA         ,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.209
30,3,WE2         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3,PEE         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3,BEL         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4,CEN         ,2615.518,0.0,0.0,710.01,3325.528,5295.867,0.0,0.0,0.0,60.321
34,4,ORI         ,1580.754,724.5,553.03,3322.461,6180.745,4856.486,0.0,0.0,0.0,162.819
35,4,OCC         ,3001.0,0.0,0.0,872.111,3873.111,7151.328,0.0,0.0,0.0,148.241
36,4,NOR         ,1612.0,34.0,0.0,455.3,2101.3,1666.605,0.0,0.0,0.0,49.533
37,4,NTE         ,2233.75,0.0,0.0,68.335,2302.085,2680.965,0.0,0.0,0.0,46.204
38,4,NES         ,5977.778,0.0,286.111,3525.305,9789.194,5068.316,0.0,0.0,0.0,127.293
39,4,PEN         ,779.607,0.0,58.558,28.02,866.185,961.088,0.0,0.0,0.0,12.875
40,4,GUA         ,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.208
41,4,WE2         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4,PEE         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4,BEL         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,5,CEN         ,2615.518,0.0,0.0,710.582,3326.1,5305.999,0.0,0.0,0.0,61.352
45,5,ORI         ,1632.91,724.5,552.56,3303.943,6213.913,4955.089,0.0,0.0,0.0,164.466
46,5,OCC         ,3027.925,0.0,0.0,836.301,3864.226,7193.291,0.0,0.0,0.0,149.908
47,5,NOR         ,1612.0,34.0,0.0,468.8,2114.8,1646.839,0.0,0.0,0.0,50.146
48,5,NTE         ,2229.265,0.0,0.0,68.335,2297.6,2676.983,0.0,0.0,0.0,46.089
49,5,NES         ,5964.725,0.0,289.759,3552.437,9806.921,5077.592,0.0,0.0,0.0,129.148
50,5,PEN         ,869.114,0.0,54.662,25.33,949.106,948.68,0.0,0.0,0.0,16.876
51,5,GUA         ,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.209
52,5,WE2         ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
